name
Car,
Springfield Elementary School,
Simpson Home,
Moe's Tavern,
Burns's Office,
Retirement Castle,
Kwik-E-Mart,
Nuclear Plant,
Springfield,
Mansion,
Casino,
Church,
Krusty Burger,
White House,
Mt. Springfield,
Kremlin,
Hell,
Nasa
